"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","965","Check contract with status: Done","tests.api.sales.orders.online","Fri Apr 10 13:22:35 UTC 2026","passed","Fri Apr 10 13:22:36 UTC 2026","TestScheme","test_history_positive","",""
"","1220","All items sorted by date","tests.api.sales.orders.online","Fri Apr 10 13:22:40 UTC 2026","passed","Fri Apr 10 13:22:41 UTC 2026","TestOrdersSorting","test_history_positive","",""
"","982","Item type belongs to one of the expected_types","tests.api.sales.orders.online","Fri Apr 10 13:22:36 UTC 2026","passed","Fri Apr 10 13:22:37 UTC 2026","TestItemType","test_history_positive","",""
"","973","Check each item from items has correct statusGroup param with input status: Done","tests.api.sales.orders.online","Fri Apr 10 13:22:39 UTC 2026","passed","Fri Apr 10 13:22:40 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","924","Check each item from items has correct orderStatus and status params with input status: Done","tests.api.sales.orders.online","Fri Apr 10 13:22:38 UTC 2026","passed","Fri Apr 10 13:22:39 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","987","Quantity param in each item more than 0","tests.api.sales.orders.online","Fri Apr 10 13:22:42 UTC 2026","passed","Fri Apr 10 13:22:43 UTC 2026","TestQuantityParam","test_history_positive","",""
"","1099","Qnt param in each item equal qnt images","tests.api.sales.orders.online","Fri Apr 10 13:22:48 UTC 2026","passed","Fri Apr 10 13:22:49 UTC 2026","TestGoodsAndImageConsistency","test_history_positive","",""
"","1048","Item name and id are similar","tests.api.sales.orders.online","Fri Apr 10 13:22:43 UTC 2026","passed","Fri Apr 10 13:22:45 UTC 2026","TestIdAndNameConsistency","test_history_positive","",""
"⚠️ Expected Bug: Total count is wrong. Look at task #1","787","Check list info params with inputs: {'page': 0, 'limit': 10, 'status': All}","tests.api.sales.orders.online","Fri Apr 10 13:22:35 UTC 2026","skipped","Fri Apr 10 13:22:36 UTC 2026","TestListInfo","test_history_positive","",""
"","1740","Check list info params with inputs: {'page': 0, 'limit': 40, 'status': All}","tests.api.sales.orders.online","Fri Apr 10 13:22:33 UTC 2026","passed","Fri Apr 10 13:22:35 UTC 2026","TestListInfo","test_history_positive","",""
"","1081","Check each item from items has correct statusGroup param with input status: All","tests.api.sales.orders.online","Fri Apr 10 13:22:38 UTC 2026","passed","Fri Apr 10 13:22:39 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","319","Check list info params with inputs: {'page': 0, 'limit': 40, 'status': Cancel}","tests.api.sales.orders.online","Fri Apr 10 13:22:37 UTC 2026","passed","Fri Apr 10 13:22:38 UTC 2026","TestListInfo","test_history_positive","",""
"","339","Check list info params with inputs: {'page': 2, 'limit': 10, 'status': All}","tests.api.sales.orders.online","Fri Apr 10 13:22:36 UTC 2026","passed","Fri Apr 10 13:22:36 UTC 2026","TestListInfo","test_history_positive","",""
"","328","Item Data from Response equal data from DB","tests.api.sales.orders.online","Fri Apr 10 13:22:45 UTC 2026","passed","Fri Apr 10 13:22:45 UTC 2026","TestOrderDataEqualDataFromDB","test_history_positive","",""
"","312","Check contract with status: Cancel","tests.api.sales.orders.online","Fri Apr 10 13:22:36 UTC 2026","passed","Fri Apr 10 13:22:36 UTC 2026","TestScheme","test_history_positive","",""
"","310","Check each item from items has correct orderStatus and status params with input status: Cancel","tests.api.sales.orders.online","Fri Apr 10 13:22:38 UTC 2026","passed","Fri Apr 10 13:22:38 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","303","Check list info params with inputs: {'page': 10, 'limit': 1, 'status': All}","tests.api.sales.orders.online","Fri Apr 10 13:22:36 UTC 2026","passed","Fri Apr 10 13:22:36 UTC 2026","TestListInfo","test_history_positive","",""
"","924","All ids are unique","tests.api.sales.orders.online","Fri Apr 10 13:22:39 UTC 2026","passed","Fri Apr 10 13:22:40 UTC 2026","TestIdsUniqueness","test_history_positive","",""
"","1026","Check list info params with inputs: {'page': 0, 'limit': 40, 'status': Done}","tests.api.sales.orders.online","Fri Apr 10 13:22:36 UTC 2026","passed","Fri Apr 10 13:22:37 UTC 2026","TestListInfo","test_history_positive","",""
"","1057","Check each item from items has correct orderStatus and status params with input status: All","tests.api.sales.orders.online","Fri Apr 10 13:22:37 UTC 2026","passed","Fri Apr 10 13:22:38 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","998","Each order price more than 0","tests.api.sales.orders.online","Fri Apr 10 13:22:41 UTC 2026","passed","Fri Apr 10 13:22:42 UTC 2026","TestOrderPrice","test_history_positive","",""
"","290","Check each item from items has correct statusGroup param with input status: Cancel","tests.api.sales.orders.online","Fri Apr 10 13:22:39 UTC 2026","passed","Fri Apr 10 13:22:39 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","2050","Check sum qnt items from all pages","tests.api.sales.orders.online","Fri Apr 10 13:22:40 UTC 2026","passed","Fri Apr 10 13:22:42 UTC 2026","TestQntAllItemsViaPagination","test_history_positive","",""
"","6199","Each picture from orders isn't broken","tests.api.sales.orders.online","Fri Apr 10 13:22:42 UTC 2026","failed","Fri Apr 10 13:22:48 UTC 2026","TestOnlineOrdersImage","test_history_positive","",""
"","1768","Check contract with status: All","tests.api.sales.orders.online","Fri Apr 10 13:22:33 UTC 2026","passed","Fri Apr 10 13:22:35 UTC 2026","TestScheme","test_history_positive","",""
