"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","985","test_scheme[limit=40_page=0_status_Done]","tests.api.sales.orders.online","Fri Mar 13 16:51:15 UTC 2026","passed","Fri Mar 13 16:51:16 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","1018","test_list_info_params[limit_40_page_0_status_Done]","tests.api.sales.orders.online","Fri Mar 13 16:51:16 UTC 2026","passed","Fri Mar 13 16:51:17 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","1297","test_list_info_params[limit_40_page_0_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:51:13 UTC 2026","passed","Fri Mar 13 16:51:15 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","429","test_scheme[limit=40_page=0_status_Cancel]","tests.api.sales.orders.online","Fri Mar 13 16:51:13 UTC 2026","passed","Fri Mar 13 16:51:13 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","1285","test_scheme[limit=40_page=0_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:51:13 UTC 2026","passed","Fri Mar 13 16:51:15 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","1054","test_items_type","tests.api.sales.orders.online","Fri Mar 13 16:51:16 UTC 2026","passed","Fri Mar 13 16:51:17 UTC 2026","TestOnlineOrdersType","test_history_positive","",""
"","350","test_list_info_params[limit_10_page_2_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:51:15 UTC 2026","passed","Fri Mar 13 16:51:15 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","394","test_list_info_params[limit_40_page_0_status_Cancel]","tests.api.sales.orders.online","Fri Mar 13 16:51:15 UTC 2026","passed","Fri Mar 13 16:51:16 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","349","test_list_info_params[limit_1_page_10_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:51:15 UTC 2026","passed","Fri Mar 13 16:51:15 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
