"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1061","test_scheme[limit=40_page=0_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:37:25 UTC 2026","passed","Fri Mar 13 16:37:26 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","1096","test_items_type","tests.api.sales.orders.online","Fri Mar 13 16:37:27 UTC 2026","passed","Fri Mar 13 16:37:28 UTC 2026","TestOnlineOrdersType","test_history_positive","",""
"","404","test_scheme[limit=40_page=0_status_Cancel]","tests.api.sales.orders.online","Fri Mar 13 16:37:25 UTC 2026","passed","Fri Mar 13 16:37:25 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","361","test_list_info_params[limit_10_page_2_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:37:26 UTC 2026","passed","Fri Mar 13 16:37:27 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","363","test_list_info_params[limit_40_page_0_status_Cancel]","tests.api.sales.orders.online","Fri Mar 13 16:37:28 UTC 2026","passed","Fri Mar 13 16:37:28 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","979","test_scheme[limit=40_page=0_status_Done]","tests.api.sales.orders.online","Fri Mar 13 16:37:26 UTC 2026","passed","Fri Mar 13 16:37:27 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","359","test_list_info_params[limit_1_page_10_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:37:27 UTC 2026","passed","Fri Mar 13 16:37:27 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","1047","test_list_info_params[limit_40_page_0_status_Done]","tests.api.sales.orders.online","Fri Mar 13 16:37:27 UTC 2026","passed","Fri Mar 13 16:37:28 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","981","test_list_info_params[limit_40_page_0_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:37:25 UTC 2026","passed","Fri Mar 13 16:37:26 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
