"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1425","test_scheme[limit=40_page=0_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:29:43 UTC 2026","passed","Fri Mar 13 16:29:44 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","1020","test_scheme[limit=40_page=0_status_Done]","tests.api.sales.orders.online","Fri Mar 13 16:29:44 UTC 2026","passed","Fri Mar 13 16:29:45 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","1031","test_list_info_params[limit_40_page_0_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:29:43 UTC 2026","passed","Fri Mar 13 16:29:44 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","349","test_list_info_params[limit_10_page_2_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:29:44 UTC 2026","passed","Fri Mar 13 16:29:45 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","1007","test_items_type","tests.api.sales.orders.online","Fri Mar 13 16:29:45 UTC 2026","passed","Fri Mar 13 16:29:46 UTC 2026","TestOnlineOrdersType","test_history_positive","",""
"","988","test_list_info_params[limit_40_page_0_status_Done]","tests.api.sales.orders.online","Fri Mar 13 16:29:45 UTC 2026","passed","Fri Mar 13 16:29:46 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","352","test_list_info_params[limit_40_page_0_status_Cancel]","tests.api.sales.orders.online","Fri Mar 13 16:29:45 UTC 2026","passed","Fri Mar 13 16:29:45 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","437","test_scheme[limit=40_page=0_status_Cancel]","tests.api.sales.orders.online","Fri Mar 13 16:29:43 UTC 2026","passed","Fri Mar 13 16:29:43 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","322","test_list_info_params[limit_1_page_10_status_All]","tests.api.sales.orders.online","Fri Mar 13 16:29:45 UTC 2026","passed","Fri Mar 13 16:29:45 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
