"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1047","Check sum qnt items from all pages","tests.api.sales.orders.online","Thu Apr 09 21:18:09 UTC 2026","passed","Thu Apr 09 21:18:10 UTC 2026","TestQntAllItemsViaPagination","test_history_positive","",""
"","2428","Check list info params with inputs: {'page': 0, 'limit': 40, 'status': All}","tests.api.sales.orders.online","Thu Apr 09 21:18:01 UTC 2026","passed","Thu Apr 09 21:18:03 UTC 2026","TestListInfo","test_history_positive","",""
"","1328","Check each item from items has correct statusGroup param with input status: Done","tests.api.sales.orders.online","Thu Apr 09 21:18:08 UTC 2026","passed","Thu Apr 09 21:18:09 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","295","Check list info params with inputs: {'page': 10, 'limit': 1, 'status': All}","tests.api.sales.orders.online","Thu Apr 09 21:18:05 UTC 2026","passed","Thu Apr 09 21:18:05 UTC 2026","TestListInfo","test_history_positive","",""
"","1096","Check list info params with inputs: {'page': 0, 'limit': 40, 'status': Done}","tests.api.sales.orders.online","Thu Apr 09 21:18:05 UTC 2026","passed","Thu Apr 09 21:18:06 UTC 2026","TestListInfo","test_history_positive","",""
"","324","Check list info params with inputs: {'page': 2, 'limit': 10, 'status': All}","tests.api.sales.orders.online","Thu Apr 09 21:18:04 UTC 2026","passed","Thu Apr 09 21:18:05 UTC 2026","TestListInfo","test_history_positive","",""
"","1046","Qnt param in each item equal qnt images","tests.api.sales.orders.online","Thu Apr 09 21:18:11 UTC 2026","passed","Thu Apr 09 21:18:12 UTC 2026","TestGoodsAndImageConsistency","test_history_positive","",""
"","284","Check list info params with inputs: {'page': 0, 'limit': 40, 'status': Cancel}","tests.api.sales.orders.online","Thu Apr 09 21:18:06 UTC 2026","passed","Thu Apr 09 21:18:06 UTC 2026","TestListInfo","test_history_positive","",""
"","462","Check each item from items has correct orderStatus and status params with input status: Cancel","tests.api.sales.orders.online","Thu Apr 09 21:18:06 UTC 2026","passed","Thu Apr 09 21:18:07 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","1081","All items sorted by date","tests.api.sales.orders.online","Thu Apr 09 21:18:09 UTC 2026","passed","Thu Apr 09 21:18:10 UTC 2026","TestOrdersSorting","test_history_positive","",""
"","314","Check contract with status: Cancel","tests.api.sales.orders.online","Thu Apr 09 21:18:04 UTC 2026","passed","Thu Apr 09 21:18:05 UTC 2026","TestScheme","test_history_positive","",""
"","934","Item type belongs to one of the expected_types","tests.api.sales.orders.online","Thu Apr 09 21:18:05 UTC 2026","passed","Thu Apr 09 21:18:06 UTC 2026","TestItemType","test_history_positive","",""
"","1039","Item name and id are similar","tests.api.sales.orders.online","Thu Apr 09 21:18:12 UTC 2026","passed","Thu Apr 09 21:18:14 UTC 2026","TestIdAndNameConsistency","test_history_positive","",""
"","1080","Quantity param in each item more than 0","tests.api.sales.orders.online","Thu Apr 09 21:18:12 UTC 2026","passed","Thu Apr 09 21:18:13 UTC 2026","TestQuantityParam","test_history_positive","",""
"","954","Each order price more than 0","tests.api.sales.orders.online","Thu Apr 09 21:18:10 UTC 2026","passed","Thu Apr 09 21:18:11 UTC 2026","TestOrderPrice","test_history_positive","",""
"","1170","Check each item from items has correct orderStatus and status params with input status: Done","tests.api.sales.orders.online","Thu Apr 09 21:18:07 UTC 2026","passed","Thu Apr 09 21:18:08 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","1115","All ids are unique","tests.api.sales.orders.online","Thu Apr 09 21:18:08 UTC 2026","passed","Thu Apr 09 21:18:09 UTC 2026","TestIdsUniqueness","test_history_positive","",""
"","2579","Check contract with status: All","tests.api.sales.orders.online","Thu Apr 09 21:18:01 UTC 2026","passed","Thu Apr 09 21:18:03 UTC 2026","TestScheme","test_history_positive","",""
"","311","Check each item from items has correct statusGroup param with input status: Cancel","tests.api.sales.orders.online","Thu Apr 09 21:18:08 UTC 2026","passed","Thu Apr 09 21:18:08 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","1107","Check each item from items has correct statusGroup param with input status: All","tests.api.sales.orders.online","Thu Apr 09 21:18:07 UTC 2026","passed","Thu Apr 09 21:18:08 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","1009","Check contract with status: Done","tests.api.sales.orders.online","Thu Apr 09 21:18:03 UTC 2026","passed","Thu Apr 09 21:18:04 UTC 2026","TestScheme","test_history_positive","",""
"","1321","Each picture from orders isn't broken","tests.api.sales.orders.online","Thu Apr 09 21:18:10 UTC 2026","passed","Thu Apr 09 21:18:12 UTC 2026","TestOnlineOrdersImage","test_history_positive","",""
"","318","Item Data from Response equal data from DB","tests.api.sales.orders.online","Thu Apr 09 21:18:13 UTC 2026","passed","Thu Apr 09 21:18:13 UTC 2026","TestOrderDataEqualDataFromDB","test_history_positive","",""
"⚠️ Expected Bug: Total count is wrong. Look at task #1","870","Check list info params with inputs: {'page': 0, 'limit': 10, 'status': All}","tests.api.sales.orders.online","Thu Apr 09 21:18:03 UTC 2026","skipped","Thu Apr 09 21:18:04 UTC 2026","TestListInfo","test_history_positive","",""
"","1111","Check each item from items has correct orderStatus and status params with input status: All","tests.api.sales.orders.online","Thu Apr 09 21:18:06 UTC 2026","passed","Thu Apr 09 21:18:07 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
