"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1339","Check list info params with inputs: {'page': 0, 'limit': 40, 'status': All}","tests.api.sales.orders.online","Thu Apr 09 21:08:09 UTC 2026","passed","Thu Apr 09 21:08:11 UTC 2026","TestListInfo","test_history_positive","",""
"","1023","Item name and id are similar","tests.api.sales.orders.online","Thu Apr 09 21:08:19 UTC 2026","passed","Thu Apr 09 21:08:20 UTC 2026","TestIdAndNameConsistency","test_history_positive","",""
"","301","Check each item from items has correct orderStatus and status params with input status: Cancel","tests.api.sales.orders.online","Thu Apr 09 21:08:13 UTC 2026","passed","Thu Apr 09 21:08:14 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","293","Item Data from Response equal data from DB","tests.api.sales.orders.online","Thu Apr 09 21:08:20 UTC 2026","passed","Thu Apr 09 21:08:20 UTC 2026","TestOrderDataEqualDataFromDB","test_history_positive","",""
"⚠️ Expected Bug: Total count is wrong. Look at task #1","801","Check list info params with inputs: {'page': 0, 'limit': 10, 'status': All}","tests.api.sales.orders.online","Thu Apr 09 21:08:11 UTC 2026","skipped","Thu Apr 09 21:08:11 UTC 2026","TestListInfo","test_history_positive","",""
"","321","Check each item from items has correct statusGroup param with input status: Cancel","tests.api.sales.orders.online","Thu Apr 09 21:08:15 UTC 2026","passed","Thu Apr 09 21:08:15 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","338","Check list info params with inputs: {'page': 2, 'limit': 10, 'status': All}","tests.api.sales.orders.online","Thu Apr 09 21:08:11 UTC 2026","passed","Thu Apr 09 21:08:12 UTC 2026","TestListInfo","test_history_positive","",""
"","1034","Check list info params with inputs: {'page': 0, 'limit': 40, 'status': Done}","tests.api.sales.orders.online","Thu Apr 09 21:08:12 UTC 2026","passed","Thu Apr 09 21:08:13 UTC 2026","TestListInfo","test_history_positive","",""
"","1077","Check sum qnt items from all pages","tests.api.sales.orders.online","Thu Apr 09 21:08:16 UTC 2026","passed","Thu Apr 09 21:08:17 UTC 2026","TestQntAllItemsViaPagination","test_history_positive","",""
"","1018","Check each item from items has correct orderStatus and status params with input status: Done","tests.api.sales.orders.online","Thu Apr 09 21:08:14 UTC 2026","passed","Thu Apr 09 21:08:15 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","1043","Qnt param in each item equal qnt images","tests.api.sales.orders.online","Thu Apr 09 21:08:19 UTC 2026","passed","Thu Apr 09 21:08:20 UTC 2026","TestGoodsAndImageConsistency","test_history_positive","",""
"","1063","All items sorted by date","tests.api.sales.orders.online","Thu Apr 09 21:08:16 UTC 2026","passed","Thu Apr 09 21:08:18 UTC 2026","TestOrdersSorting","test_history_positive","",""
"","300","Check list info params with inputs: {'page': 10, 'limit': 1, 'status': All}","tests.api.sales.orders.online","Thu Apr 09 21:08:12 UTC 2026","passed","Thu Apr 09 21:08:12 UTC 2026","TestListInfo","test_history_positive","",""
"","986","Check each item from items has correct orderStatus and status params with input status: All","tests.api.sales.orders.online","Thu Apr 09 21:08:13 UTC 2026","passed","Thu Apr 09 21:08:14 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","1060","Item type belongs to one of the expected_types","tests.api.sales.orders.online","Thu Apr 09 21:08:12 UTC 2026","passed","Thu Apr 09 21:08:13 UTC 2026","TestItemType","test_history_positive","",""
"","942","Each order price more than 0","tests.api.sales.orders.online","Thu Apr 09 21:08:18 UTC 2026","passed","Thu Apr 09 21:08:19 UTC 2026","TestOrderPrice","test_history_positive","",""
"","1450","Check contract with status: All","tests.api.sales.orders.online","Thu Apr 09 21:08:09 UTC 2026","passed","Thu Apr 09 21:08:11 UTC 2026","TestScheme","test_history_positive","",""
"","1301","Each picture from orders isn't broken","tests.api.sales.orders.online","Thu Apr 09 21:08:17 UTC 2026","passed","Thu Apr 09 21:08:18 UTC 2026","TestOnlineOrdersImage","test_history_positive","",""
"","318","Check contract with status: Cancel","tests.api.sales.orders.online","Thu Apr 09 21:08:12 UTC 2026","passed","Thu Apr 09 21:08:12 UTC 2026","TestScheme","test_history_positive","",""
"","1098","All ids are unique","tests.api.sales.orders.online","Thu Apr 09 21:08:15 UTC 2026","passed","Thu Apr 09 21:08:16 UTC 2026","TestIdsUniqueness","test_history_positive","",""
"","1049","Check each item from items has correct statusGroup param with input status: All","tests.api.sales.orders.online","Thu Apr 09 21:08:14 UTC 2026","passed","Thu Apr 09 21:08:15 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","1039","Check contract with status: Done","tests.api.sales.orders.online","Thu Apr 09 21:08:11 UTC 2026","passed","Thu Apr 09 21:08:12 UTC 2026","TestScheme","test_history_positive","",""
"","1108","Quantity param in each item more than 0","tests.api.sales.orders.online","Thu Apr 09 21:08:18 UTC 2026","passed","Thu Apr 09 21:08:19 UTC 2026","TestQuantityParam","test_history_positive","",""
"","303","Check list info params with inputs: {'page': 0, 'limit': 40, 'status': Cancel}","tests.api.sales.orders.online","Thu Apr 09 21:08:13 UTC 2026","passed","Thu Apr 09 21:08:13 UTC 2026","TestListInfo","test_history_positive","",""
"","980","Check each item from items has correct statusGroup param with input status: Done","tests.api.sales.orders.online","Thu Apr 09 21:08:15 UTC 2026","passed","Thu Apr 09 21:08:16 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
