"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","380","test_list_info_params[limit_10_page_2_status_All]","tests.api.sales.orders.online","Fri Mar 13 17:12:14 UTC 2026","passed","Fri Mar 13 17:12:14 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","1425","test_scheme[limit=40_page=0_status_All]","tests.api.sales.orders.online","Fri Mar 13 17:12:12 UTC 2026","passed","Fri Mar 13 17:12:14 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","1117","test_items_type","tests.api.sales.orders.online","Fri Mar 13 17:12:15 UTC 2026","passed","Fri Mar 13 17:12:16 UTC 2026","TestOnlineOrdersType","test_history_positive","",""
"","386","test_list_info_params[limit_40_page_0_status_Cancel]","tests.api.sales.orders.online","Fri Mar 13 17:12:15 UTC 2026","passed","Fri Mar 13 17:12:16 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","948","test_scheme[limit=40_page=0_status_Done]","tests.api.sales.orders.online","Fri Mar 13 17:12:14 UTC 2026","passed","Fri Mar 13 17:12:14 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
"","1042","test_list_info_params[limit_40_page_0_status_All]","tests.api.sales.orders.online","Fri Mar 13 17:12:13 UTC 2026","passed","Fri Mar 13 17:12:14 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","1069","test_list_info_params[limit_40_page_0_status_Done]","tests.api.sales.orders.online","Fri Mar 13 17:12:14 UTC 2026","passed","Fri Mar 13 17:12:15 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","339","test_list_info_params[limit_1_page_10_status_All]","tests.api.sales.orders.online","Fri Mar 13 17:12:14 UTC 2026","passed","Fri Mar 13 17:12:15 UTC 2026","TestOnlineOrdersListInfo","test_history_positive","",""
"","540","test_scheme[limit=40_page=0_status_Cancel]","tests.api.sales.orders.online","Fri Mar 13 17:12:12 UTC 2026","passed","Fri Mar 13 17:12:13 UTC 2026","TestOnlineOrdersScheme","test_history_positive","",""
